item_name,category,image_url,price_twd,calories_kcal,protein_g,fat_g,saturated_fat_g,trans_fat_g,carb_g,sodium_mg,nutrition_json,detail_url,source_page,crawled_at
大正醇香紅茶,愛茶的牛 Tea,https://www.milksha.com/upload/product/2208260928540000001.png,40,221,,,,,,,"{""calories_kcal"": 221, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",https://www.milksha.com/products_detail.php?cID=1,https://www.milksha.com/products.php,2026-04-04T14:53:55.428436+00:00
原片初露青茶,愛茶的牛 Tea,https://www.milksha.com/upload/product/2208260948240000001.png,40,146,,,,,,,"{""calories_kcal"": 146, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",https://www.milksha.com/products_detail.php?cID=1,https://www.milksha.com/products.php,2026-04-04T14:53:55.428451+00:00
茉莉原淬綠茶,愛茶的牛 Tea,https://www.milksha.com/upload/product/2208260934270000001.png,40,146,,,,,,,"{""calories_kcal"": 146, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",https://www.milksha.com/products_detail.php?cID=1,https://www.milksha.com/products.php,2026-04-04T14:53:55.428465+00:00
琥珀高峰烏龍,愛茶的牛 Tea,https://www.milksha.com/upload/product/2208260933460000001.png,40,144,,,,,,,"{""calories_kcal"": 144, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",https://www.milksha.com/products_detail.php?cID=1,https://www.milksha.com/products.php,2026-04-04T14:53:55.428479+00:00
娜杯紅茶拿鐵,醇濃鮮奶茶 Fresh Milk Tea,https://www.milksha.com/upload/product/2208260958130000001.png,70,276,,,,,,,"{""calories_kcal"": 276, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",https://www.milksha.com/products_detail.php?cID=5,https://www.milksha.com/products.php,2026-04-04T14:53:55.428505+00:00
伯爵紅茶拿鐵,醇濃鮮奶茶 Fresh Milk Tea,https://www.milksha.com/upload/product/2208260957390000001.png,65,250,,,,,,,"{""calories_kcal"": 250, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",https://www.milksha.com/products_detail.php?cID=5,https://www.milksha.com/products.php,2026-04-04T14:53:55.428521+00:00
大正紅茶拿鐵,醇濃鮮奶茶 Fresh Milk Tea,https://www.milksha.com/upload/product/2208260957570000001.png,65,261,,,,,,,"{""calories_kcal"": 261, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",https://www.milksha.com/products_detail.php?cID=5,https://www.milksha.com/products.php,2026-04-04T14:53:55.428534+00:00
琥珀烏龍拿鐵,醇濃鮮奶茶 Fresh Milk Tea,https://www.milksha.com/upload/product/2208260959250000001.png,65,242,,,,,,,"{""calories_kcal"": 242, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",https://www.milksha.com/products_detail.php?cID=5,https://www.milksha.com/products.php,2026-04-04T14:53:55.428547+00:00
茉香綠茶拿鐵,醇濃鮮奶茶 Fresh Milk Tea,https://www.milksha.com/upload/product/2208260959540000001.png,65,243,,,,,,,"{""calories_kcal"": 243, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",https://www.milksha.com/products_detail.php?cID=5,https://www.milksha.com/products.php,2026-04-04T14:53:55.428562+00:00
原片青茶拿鐵,醇濃鮮奶茶 Fresh Milk Tea,https://www.milksha.com/upload/product/2208260958540000001.png,65,243,,,,,,,"{""calories_kcal"": 243, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",https://www.milksha.com/products_detail.php?cID=5,https://www.milksha.com/products.php,2026-04-04T14:53:55.428576+00:00
