item_name,category,image_url,price_twd,calories_kcal,protein_g,fat_g,saturated_fat_g,trans_fat_g,carb_g,sodium_mg,nutrition_json,detail_url,source_page,crawled_at
麥克鷄塊®(10塊),早餐,https://s7d1.scene7.com/is/image/mcdonalds/早餐十塊麥克鷄塊1206:nutrition-calculator-tile,,435.71,26.0,26.0,4.8,0.0,24.0,,"{""calories_kcal"": 435.71, ""protein_g"": 26.0, ""fat_g"": 26.0, ""saturated_fat_g"": 4.8, ""trans_fat_g"": 0.0, ""carb_g"": 24.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/chicken-mcnuggets-10-pieces-breakfast.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422838+00:00
麥克鷄塊®(4塊),點心,https://s7d1.scene7.com/is/image/mcdonalds/chicken-mcnuggets-4-pieces_832x822:nutrition-calculator-tile,,174.28,10.0,11.0,1.9,0.0,9.7,,"{""calories_kcal"": 174.28, ""protein_g"": 10.0, ""fat_g"": 11.0, ""saturated_fat_g"": 1.9, ""trans_fat_g"": 0.0, ""carb_g"": 9.7, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/chicken-mcnuggets-4-pieces.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422850+00:00
麥克鷄塊®(4塊)+無糖綠茶(冰)(小),1+1星級點,https://s7d1.scene7.com/is/image/mcdonalds/832x822_1-1:nutrition-calculator-tile,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/meal/chicken-mcnuggets-4-pieces-and-iced-green-tea-sugar-free.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422861+00:00
四塊麥克鷄塊Happy Meal®,Happy Meal®,https://s7d1.scene7.com/is/image/mcdonalds/1024四塊麥克鷄塊餐組happymeal:nutrition-calculator-tile,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/meal/chicken-mcnuggets-4-pieces-happy-meal.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422872+00:00
麥克鷄塊®(6塊),點心,https://s7d1.scene7.com/is/image/mcdonalds/chicken-mcnuggets-6-pieces_832x822:nutrition-calculator-tile,,261.43,16.0,16.0,2.9,0.0,14.0,,"{""calories_kcal"": 261.43, ""protein_g"": 16.0, ""fat_g"": 16.0, ""saturated_fat_g"": 2.9, ""trans_fat_g"": 0.0, ""carb_g"": 14.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/chicken-mcnuggets-6-pieces.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422884+00:00
麥克鷄塊®(6塊)+可樂(小),1+1星級點,https://s7d1.scene7.com/is/image/mcdonalds/832x822_BA_1129_12_六塊麥克鷄塊_可樂(小)-:nutrition-calculator-tile,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/meal/chicken-mcnuggets-6-pieces-and-coke.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422895+00:00
麥克鷄塊®(6塊),早餐,https://s7d1.scene7.com/is/image/mcdonalds/早餐六塊麥克鷄塊1206:nutrition-calculator-tile,,261.43,16.0,16.0,2.9,0.0,14.0,,"{""calories_kcal"": 261.43, ""protein_g"": 16.0, ""fat_g"": 16.0, ""saturated_fat_g"": 2.9, ""trans_fat_g"": 0.0, ""carb_g"": 14.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/chicken-mcnuggets-6-pieces-breakfast.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422907+00:00
鷄塊鷄腿分享盒,麥當勞分享盒,https://s7d1.scene7.com/is/image/mcdonalds/chicken-mcnuggets-n-mccrispy-sharing-box_832x822:nutrition-calculator-tile,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/meal/chicken-mcnuggets-n-mccrispy-sharing-box.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422917+00:00
麥克鷄塊分享盒(20塊),麥當勞分享盒,https://s7d1.scene7.com/is/image/mcdonalds/chicken-mcnuggets-sharing-box_832x822:nutrition-calculator-tile,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/meal/chicken-mcnuggets-sharing-box.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422931+00:00
麥克鷄塊分享盒(30塊),麥當勞分享盒,https://s7d1.scene7.com/is/image/mcdonalds/chicken-mcnuggets-sharing-box-6-pieces_832x822:nutrition-calculator-tile,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/meal/chicken-mcnuggets-sharing-box-6-pieces.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422942+00:00
肉桂捲,McCafé®,https://s7d1.scene7.com/is/image/mcdonalds/cinnamon-swirl_832x822:nutrition-calculator-tile,,350.0,5.5,19.0,13.0,0.2,41.0,,"{""calories_kcal"": 350.0, ""protein_g"": 5.5, ""fat_g"": 19.0, ""saturated_fat_g"": 13.0, ""trans_fat_g"": 0.2, ""carb_g"": 41.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/cinnamon-swirl.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422955+00:00
四盎司牛肉堡,超值全餐,https://s7d1.scene7.com/is/image/mcdonalds/832x822_四盎司牛肉堡-1:nutrition-calculator-tile,,541.29,32.0,28.0,15.0,0.7,40.0,,"{""calories_kcal"": 541.29, ""protein_g"": 32.0, ""fat_g"": 28.0, ""saturated_fat_g"": 15.0, ""trans_fat_g"": 0.7, ""carb_g"": 40.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/classic-angus-beef-burger.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422968+00:00
可口可樂,飲料,https://s7d1.scene7.com/is/image/mcdonalds/可口可樂_832x822_1029:nutrition-calculator-tile,,157.94,0.0,0.0,0.0,0.0,39.0,,"{""calories_kcal"": 157.94, ""protein_g"": 0.0, ""fat_g"": 0.0, ""saturated_fat_g"": 0.0, ""trans_fat_g"": 0.0, ""carb_g"": 39.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/coke.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422981+00:00
可口可樂zero,飲料,https://s7d1.scene7.com/is/image/mcdonalds/planp零卡可樂_832x822n:nutrition-calculator-tile,,0.0,0.0,0.0,0.0,0.0,0.0,,"{""calories_kcal"": 0.0, ""protein_g"": 0.0, ""fat_g"": 0.0, ""saturated_fat_g"": 0.0, ""trans_fat_g"": 0.0, ""carb_g"": 0.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/coke-zero.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422993+00:00
